n_jobs: 1, time: 18.65290117263794
n_jobs: 2, time: 10.105263948440552
n_jobs: 3, time: 7.708697080612183
n_jobs: 4, time: 6.600919008255005
n_jobs: 5, time: 6.1352362632751465
n_jobs: 6, time: 5.9383039474487305
n_jobs: 7, time: 5.365477800369263
n_jobs: 8, time: 5.559116840362549
n_jobs: 9, time: 5.5736658573150635
n_jobs: 10, time: 5.775092124938965
n_jobs: 11, time: 6.0687103271484375
n_jobs: 12, time: 6.309510946273804
n_jobs: 13, time: 6.1337199211120605
n_jobs: 14, time: 6.549816608428955
n_jobs: 15, time: 6.26596212387085
n_jobs: 16, time: 6.163043975830078
